,RMSE,Error > 1m,Error > 1m 24,Error > 1m 6
"(135, 170)",0.801960799,FALSE,FALSE,TRUE
"(135, 175)",0.336337952,FALSE,FALSE,FALSE
"(135, 180)",0.553966414,FALSE,FALSE,TRUE
"(140, 135)",0.468411357,FALSE,FALSE,FALSE
"(140, 150)",0.397159741,FALSE,FALSE,FALSE
"(140, 155)",0.652576034,FALSE,FALSE,FALSE
"(140, 160)",0.320901665,FALSE,FALSE,FALSE
"(140, 165)",0.763691572,FALSE,FALSE,TRUE
"(140, 170)",0.171364701,FALSE,FALSE,FALSE
"(140, 175)",0.951653174,FALSE,FALSE,FALSE
"(140, 180)",0.050907506,FALSE,FALSE,FALSE
"(140, 185)",0.845890903,FALSE,FALSE,FALSE
"(140, 190)",0.298593496,FALSE,FALSE,FALSE
"(145, 150)",0.335817195,FALSE,FALSE,FALSE
"(145, 155)",0.658407167,FALSE,TRUE,TRUE
"(145, 160)",0.402452212,FALSE,FALSE,FALSE
"(145, 165)",0.557194366,FALSE,FALSE,TRUE
"(145, 170)",0.515855107,FALSE,FALSE,FALSE
"(145, 175)",0.415504231,FALSE,FALSE,TRUE
"(145, 180)",0.699855246,FALSE,FALSE,TRUE
"(145, 185)",0.223469916,FALSE,FALSE,FALSE
"(145, 190)",0.901368896,FALSE,FALSE,FALSE
"(145, 195)",0.010221478,FALSE,FALSE,FALSE
"(145, 200)",0.866526679,FALSE,FALSE,FALSE
"(150, 150)",0.916503134,FALSE,FALSE,FALSE
"(150, 155)",0.12468071,FALSE,FALSE,FALSE
"(150, 160)",0.865791127,FALSE,FALSE,TRUE
"(150, 165)",0.199906458,FALSE,FALSE,FALSE
"(150, 170)",0.778445458,FALSE,FALSE,FALSE
"(150, 175)",0.297212088,FALSE,FALSE,FALSE
"(150, 180)",0.652789903,FALSE,FALSE,TRUE
"(150, 185)",0.442789426,FALSE,FALSE,FALSE
"(150, 190)",0.480838178,FALSE,FALSE,FALSE
"(150, 195)",0.6343124,FALSE,FALSE,FALSE
"(150, 200)",0.259066248,FALSE,FALSE,FALSE
"(150, 205)",0.877281162,FALSE,FALSE,FALSE
"(150, 210)",0.005882135,FALSE,FALSE,FALSE
"(155, 155)",0.917429445,FALSE,FALSE,FALSE
"(155, 175)",1.043810565,TRUE,FALSE,FALSE
"(155, 180)",0.073341012,FALSE,FALSE,FALSE
"(155, 190)",0.207051126,FALSE,FALSE,FALSE
"(155, 195)",0.723056263,FALSE,FALSE,TRUE
"(155, 200)",0.390386454,FALSE,FALSE,FALSE
"(155, 205)",0.514969227,FALSE,FALSE,FALSE
"(155, 210)",0.618919714,FALSE,FALSE,FALSE
"(155, 215)",0.250046532,FALSE,FALSE,FALSE
"(155, 220)",0.918162358,FALSE,FALSE,FALSE
"(155, 225)",0.632681956,FALSE,FALSE,FALSE
"(155, 230)",0.134533924,FALSE,FALSE,FALSE
"(160, 160)",0.881593069,FALSE,FALSE,FALSE
"(160, 195)",0.00849638,FALSE,FALSE,FALSE
"(160, 200)",0.937944052,FALSE,FALSE,FALSE
"(160, 205)",0.163395627,FALSE,FALSE,FALSE
"(160, 210)",0.740085172,FALSE,FALSE,FALSE
"(160, 215)",0.392407685,FALSE,FALSE,FALSE
"(160, 220)",0.479582724,FALSE,FALSE,FALSE
"(160, 225)",0.668626714,FALSE,FALSE,FALSE
"(160, 230)",0.166590382,FALSE,FALSE,FALSE
"(165, 195)",0.752529244,FALSE,FALSE,TRUE
"(165, 200)",0.197786094,FALSE,FALSE,FALSE
"(165, 205)",0.885249611,FALSE,FALSE,TRUE
"(165, 210)",0.036421692,FALSE,FALSE,FALSE
"(165, 215)",0.937898491,FALSE,FALSE,FALSE
"(165, 220)",0.176984142,FALSE,FALSE,FALSE
"(165, 225)",0.700071769,FALSE,FALSE,TRUE
"(165, 230)",0.450320809,FALSE,FALSE,FALSE
"(165, 235)",0.391186365,FALSE,FALSE,FALSE
"(165, 240)",0.780485465,FALSE,FALSE,FALSE
"(170, 205)",0.362669134,FALSE,FALSE,FALSE
"(170, 210)",0.71419833,FALSE,FALSE,FALSE
"(170, 215)",0.210092209,FALSE,FALSE,FALSE
"(170, 220)",0.876176373,FALSE,FALSE,FALSE
